,A,B,C,G,R,X6,X8,Class
0,6,860.62,809.73,65.24,573,88.1326,0.2113,A
1,7,871.58,789.74,64.54,849,84.8057,0.2151,A
2,6,854.87,789.74,64.54,687,90.5386,0.2127,A
3,7,823.73,759.75,68.2,475,86.1053,0.2081,A
4,6,823.44,759.75,68.2,424,87.0283,0.2429,A
5,6,825.02,749.75,67.44,646,76.935,0.2139,A
6,10,763.63,579.81,50.44,10334,33.414,0.1819,A
7,11,792.09,499.83,40.01,31298,69.5827,0.2971,A
8,9,752.25,529.82,46.89,15586,74.0408,0.1846,A
9,7,659.78,599.8,80.03,1031,74.6848,0.2467,A
10,8,635.12,589.8,84.54,454,63.4361,0.2099,A
11,9,641.38,599.8,86.99,441,57.8231,0.2126,A
12,8,653.65,589.8,80.03,544,72.6103,0.2434,A
13,8,673.03,589.8,80.03,512,72.8516,0.2073,A
14,11,679.54,619.79,80.03,416,84.8558,0.2102,A
15,9,685.25,609.8,75.97,683,74.5242,0.1737,A
16,8,689.77,549.82,44.79,10291,51.89,0.2602,A
17,9,711.65,319.89,40.28,40108,71.6391,0.3038,A
18,9,771.09,319.89,40.28,57133,79.1522,0.3155,A
19,9,807.45,329.89,38.47,45238,92.3803,0.2477,A
20,12,801.73,329.89,38.47,46133,79.3098,0.1782,A
21,11,780.28,349.88,44.79,16431,82.6304,0.1732,A
22,9,813.44,439.85,44.79,20412,86.2238,0.1756,A
23,10,845.85,699.77,62.52,1445,82.7682,0.1144,A
24,10,808.7,679.77,61.24,2653,52.4689,0.1706,A
25,10,772.87,389.87,42.57,15487,57.9389,0.1617,A
26,11,815.04,439.85,42.57,15249,90.3076,0.1534,A
27,10,811.95,439.85,49.2,3318,83.906,0.1368,A
28,9,847.46,389.87,40.28,35297,82.1033,0.1903,A
29,9,837.85,389.87,42.27,19650,88.7684,0.3357,A
30,9,863.05,379.87,38.23,20844,43.7296,0.316,A
31,8,799.73,379.87,38.23,19579,52.8781,0.2858,A
32,7,741.33,659.78,72.31,1599,45.0907,0.142,A
33,9,762.99,679.77,72.31,937,65.5283,0.1417,A
34,8,776.77,429.86,43.81,23101,69.3823,0.1392,A
35,9,788.07,409.86,43.81,23662,67.1963,0.141,A
36,10,755.03,369.88,41.97,13351,58.1529,0.1472,A
37,11,745.86,349.88,41.97,37358,67.8034,0.298,A
38,8,740.54,349.88,43.81,20100,85.8209,0.3554,A
39,9,730.53,659.78,68.2,1483,65.4754,0.1755,A
40,10,762.38,669.78,68.2,944,44.0678,0.1381,A
41,9,730.27,639.79,73.2,813,32.5953,0.2458,A
42,10,732.83,639.79,70.61,1264,42.6424,0.14,A
43,9,757.12,649.78,70.61,1294,18.3153,0.1738,A
44,8,750.8,659.78,72.31,490,46.7347,0.3155,A
45,7,762.99,659.78,70.61,1101,36.6031,0.1417,A
46,6,760.02,689.77,70.61,1140,50.9649,0.1422,A
47,8,743.44,689.77,72.31,1276,34.0125,0.1416,A
48,9,770.28,679.77,39.49,14494,56.8649,0.1404,A
49,10,738.22,649.78,39.49,15159,55.43899999999999,0.1737,A
50,9,747.32,649.78,68.2,1501,29.3138,0.1808,A
51,9,771.9,649.78,68.2,3185,9.9843,0.1401,A
52,10,717.71,629.79,71.45,1269,23.3255,0.1429,A
53,8,714.76,629.79,75.03,1316,26.9757,0.1749,A
54,9,752.64,509.83,58.84,1852,67.0626,0.2098,A
55,8,780.3,509.83,58.84,2173,67.1882,0.35600000000000004,A
56,9,777.58,679.77,69.79,867,47.6355,0.139,A
57,10,769.74,669.78,68.99,1558,29.7818,0.1444,A
58,7,762.18,669.78,68.99,1579,28.0557,0.1418,A
59,7,855.78,689.77,59.43,3148,36.1817,0.2125,A
60,6,914.86,819.73,59.43,1188,76.0943,0.2116,A
61,5,864.09,799.73,61.88,1147,84.1325,0.217,A
62,6,854.56,799.73,65.24,750,86.0,0.2128,A
63,6,853.05,739.75,64.54,1387,64.3836,0.2131,A
64,8,846.5,609.8,64.54,2329,59.5105,0.1688,A
65,8,836.62,609.8,64.54,2236,56.8873,0.1649,A
66,6,854.56,779.74,64.54,635,76.8504,0.1773,A
67,7,896.26,829.72,63.85,634,92.429,0.2092,A
68,6,780.02,579.81,63.85,2041,41.6952,0.2137,A
69,6,746.07,579.81,63.85,1357,46.9418,0.1764,A
70,7,875.02,709.76,61.88,1557,69.1073,0.1786,A
71,6,938.69,859.71,60.02,1099,89.8999,0.1776,A
72,5,943.35,879.71,60.02,763,86.8938,0.212,A
73,6,938.69,869.71,60.02,939,80.8307,0.2131,A
74,7,936.02,859.71,60.02,688,93.8953,0.1781,A
75,7,923.03,859.71,61.24,534,91.0112,0.1806,A
76,6,909.05,859.71,63.18,476,89.4958,0.2129,A
77,6,878.14,729.76,63.18,1078,72.3562,0.1779,A
78,7,811.16,679.77,63.85,1915,42.4021,0.2113,A
79,8,762.18,669.78,68.2,925,23.4595,0.2128,A
80,7,816.2,669.78,65.96,1419,30.7259,0.1802,A
81,8,878.46,829.72,64.54,609,72.9064,0.2134,A
82,8,885.33,839.72,64.54,550,74.1818,0.2118,A
83,7,878.14,819.73,65.24,487,84.8049,0.2135,A
84,7,848.25,719.76,65.24,1245,68.3534,0.20800000000000002,A
85,6,848.54,719.76,64.54,1472,63.7908,0.20800000000000002,A
86,7,879.39,779.74,64.54,846,67.3759,0.1777,A
87,8,882.52,829.72,64.54,532,80.8271,0.1771,A
88,7,881.89,799.73,64.54,428,77.1028,0.1772,A
89,7,842.14,719.76,65.96,832,52.0433,0.1799,A
90,6,822.96,719.76,67.44,905,55.9116,0.14300000000000002,A
91,7,797.79,679.77,67.44,700,63.1429,0.2089,A
92,9,666.06,529.82,71.45,2687,19.5385,0.1746,A
93,9,623.92,529.82,82.22,532,43.797,0.3136,A
94,10,674.89,329.89,73.2,2576,50.9705,0.2412,A
95,10,715.51,329.89,68.2,3433,56.9473,0.2446,A
96,8,772.72,639.79,67.44,884,59.7285,0.1749,A
97,9,782.52,649.78,67.44,2212,18.7613,0.142,A
98,8,807.45,689.77,66.69,1051,41.6746,0.1415,A
99,8,845.01,549.82,48.4,12879,87.3204,0.2785,A
100,10,789.43,339.89,48.4,22269,93.7312,0.2687,A
101,10,758.86,339.89,48.8,5296,99.2447,0.155,A
102,7,799.43,689.77,38.97,16536,71.0571,0.1516,A
103,12,583.07,309.9,38.97,24933,48.5581,0.1864,A
104,19,507.51,309.9,55.57,15970,92.0038,0.3167,A
105,13,598.92,309.9,55.57,23460,62.728,0.2947,A
106,8,727.18,629.79,65.24,3008,37.1676,0.1331,A
107,9,647.97,499.83,52.19,12016,74.4591,0.2105,A
108,9,653.04,499.83,52.19,6579,71.637,0.2849,A
109,10,695.87,639.79,76.95,779,47.7535,0.1753,A
110,10,696.35,629.79,76.95,1264,28.2437,0.1751,A
111,9,713.51,419.86,54.56,3674,48.0131,0.2453,A
112,11,711.23,419.86,54.56,3984,42.746,0.3429,A
113,8,690.26,609.8,73.2,1467,14.9966,0.1767,A
114,7,668.59,589.8,78.97,608,35.8553,0.2493,A
115,9,655.92,589.8,84.54,327,31.8043,0.2079,A
116,9,645.47,589.8,84.54,144,35.4167,0.2465,A
117,8,634.46,589.8,84.54,315,42.2222,0.1401,A
2208,19,865.47,709.76,58.27,5948,62.6933,0.2101,A
2209,18,871.22,389.87,58.27,4924,79.6507,0.2435,A
2210,18,879.39,759.75,58.84,4773,94.2384,0.2488,A
2211,19,865.17,729.76,56.62,6724,79.5806,0.2102,A
2212,18,878.46,729.76,56.62,4823,82.6871,0.2134,A
2213,16,905.01,769.74,60.02,3603,91.5626,0.2417,A
2214,18,884.86,379.87,60.02,3882,91.4477,0.2397,A
2215,18,871.27,729.76,55.57,4988,70.2085,0.2511,A
2216,17,879.39,699.77,55.57,5901,77.3428,0.2488,A
2217,18,901.96,699.77,58.27,4214,73.8965,0.2146,A
2218,18,911.7,809.73,58.27,2174,83.6707,0.2194,A
2219,19,901.31,799.73,61.24,2095,95.3699,0.2147,A
2220,20,869.41,749.75,61.24,3306,92.5892,0.244,A
2221,21,836.01,379.87,61.88,4168,82.5816,0.2392,A
2222,21,867.21,739.75,60.63,3905,84.1485,0.2162,A
2223,19,871.53,769.74,60.02,3514,88.1332,0.2434,A
2224,17,858.83,739.75,57.16,3921,67.8143,0.2397,A
2225,17,877.83,739.75,57.16,4565,84.425,0.2136,A
2226,17,908.08,759.75,57.16,4309,89.8816,0.2131,A
2227,18,890.35,729.76,58.27,3655,85.171,0.2174,A
2228,17,862.44,719.76,58.84,5383,86.0858,0.24600000000000002,A
2229,18,868.83,379.87,58.84,4113,68.4415,0.237,A
2230,19,902.92,759.75,60.63,2612,85.3369,0.2501,A
2231,19,891.58,759.75,60.02,2555,90.137,0.2454,A
2232,16,893.14,759.75,60.02,3559,92.9475,0.2449,A
2233,17,863.95,729.76,60.63,4309,86.1453,0.2455,A
2234,18,862.14,729.76,60.63,3966,87.4181,0.24600000000000002,A
2235,17,875.02,739.75,61.24,3664,97.8985,0.25,A
2236,16,875.96,739.75,60.63,4142,96.3061,0.2141,A
2237,17,869.1,749.75,56.09,4399,93.6122,0.2441,A
2238,17,883.14,749.75,56.09,2764,81.9103,0.2477,A
2239,15,892.2,819.73,62.52,1290,91.5504,0.2452,A
2240,14,904.21,829.72,61.88,1345,94.9442,0.2497,A
2241,15,895.51,729.76,58.27,3604,76.4983,0.2522,A
2242,12,904.21,729.76,58.27,3646,79.5666,0.2141,A
2243,15,910.66,789.74,61.24,2151,96.6062,0.2125,A
2244,16,901.96,769.74,59.43,3561,90.1994,0.2146,A
2245,15,907.44,769.74,59.43,3047,86.8067,0.2133,A
2246,15,918.08,829.72,60.02,1628,98.6486,0.2108,A
2247,13,905.83,779.74,58.84,3186,92.5926,0.2493,A
2248,12,906.47,769.74,55.06,5595,91.0456,0.2491,A
2249,12,912.92,769.74,55.06,4095,83.5653,0.2473,A
2250,12,907.12,769.74,58.84,3804,81.7298,0.2489,A
2251,12,880.64,729.76,56.62,5303,92.9285,0.2484,A
2252,12,865.59,379.87,56.62,4764,91.6457,0.2379,A
2253,14,894.08,779.74,60.02,3448,92.6624,0.2447,A
2254,16,847.95,729.76,60.02,3037,83.9315,0.2428,A
2255,15,830.31,729.76,61.88,3121,96.5396,0.248,A
2256,15,874.4,739.75,56.62,4674,77.3641,0.2144,A
2257,13,886.27,729.76,56.62,4629,87.5783,0.2468,A
2258,14,877.89,729.76,56.62,5391,75.4591,0.2416,A
2259,14,895.33,729.76,56.62,4463,74.9944,0.2443,A
2260,13,909.07,829.72,61.24,1934,94.8811,0.2063,A
2261,13,876.07,379.87,60.02,2420,85.0413,0.2075,A
2262,15,870.32,739.75,60.02,3552,78.1532,0.2437,A
2263,15,871.83,739.75,61.24,3598,93.552,0.2433,A
2264,15,842.45,699.77,61.24,3601,86.3649,0.2158,A
2265,14,883.9,699.77,52.19,5953,70.4519,0.2555,A
2266,12,960.01,759.75,52.19,5737,80.7042,0.2431,A
2267,13,916.47,749.75,57.16,4293,51.8519,0.1408,A
2268,12,886.67,379.87,54.56,4987,43.8941,0.2392,A
2269,11,896.48,759.75,54.56,4714,47.412,0.2519,A
2270,11,896.8,759.75,57.16,5403,68.7396,0.2518,A
2271,12,893.76,779.74,59.43,3607,93.7621,0.2448,A
2272,12,850.63,729.76,59.43,3170,87.5079,0.2494,A
2273,16,857.29,729.76,58.84,3873,74.4384,0.2474,A
2274,15,891.58,759.75,58.84,2276,72.4956,0.2454,A
2275,13,903.89,819.73,61.24,1286,96.3453,0.2498,A
2276,13,883.46,759.75,61.24,1704,75.9977,0.2122,A
2277,12,879.71,709.76,59.43,2392,62.1656,0.1776,A
2278,12,903.89,789.74,58.84,2483,83.9307,0.2498,A
2279,11,893.45,769.74,58.84,3049,84.4539,0.2099,A
2280,12,883.58,769.74,60.63,2711,92.2538,0.2191,A
2281,13,873.46,759.75,61.24,3210,93.1776,0.2504,A
2282,14,869.41,759.75,59.43,2839,88.65799999999999,0.244,A
2283,13,896.8,789.74,59.43,2690,90.9294,0.2518,A
2284,12,896.58,769.74,60.02,3187,90.8378,0.244,A
2285,12,878.46,759.75,56.62,3687,85.0827,0.249,A
2286,12,863.54,739.75,56.62,3430,89.0962,0.2725,A
2287,11,875.02,739.75,57.71,3301,95.4559,0.25,A
2288,12,895.64,769.74,57.71,4127,73.0797,0.2442,A
2289,10,899.38,779.74,58.27,2858,69.5591,0.2511,A
2290,11,879.71,749.75,59.43,3232,68.1312,0.2487,A
2291,13,862.95,379.87,59.43,4029,86.0511,0.2386,A
2292,13,873.65,379.87,60.63,4602,92.0687,0.2428,A
2293,10,888.14,739.75,56.09,4881,85.085,0.2463,A
2294,11,887.83,749.75,56.09,4898,87.4439,0.2464,A
