,A,B,C,G,R,X6,X8,Class
1481,26,614.05,589.8,93.78,86,59.3023,0.3119,D
1482,23,609.8,569.81,93.78,145,28.9655,0.2094,D
1483,24,616.32,569.81,90.94,189,23.8095,0.3527,D
1484,24,621.28,379.87,90.94,71,53.5211,0.3425,D
1485,23,631.12,599.8,90.94,58,37.931,0.3521,D
1486,26,623.27,589.8,90.94,111,28.8288,0.1395,D
1487,23,599.38,549.82,92.34,127,14.9606,0.1738,D
1488,24,605.12,549.82,83.36,439,37.8132,0.1406,D
1489,26,610.65,569.81,83.36,480,31.6667,0.1394,D
1490,24,605.97,569.81,90.94,191,25.1309,0.2809,D
1491,21,615.42,359.88,90.94,250,38.0,0.2708,D
1492,21,628.27,599.8,90.94,106,68.8679,0.1384,D
1493,21,624.79,589.8,89.58,167,77.2455,0.174,D
1494,22,626.53,589.8,86.99,369,70.4607,0.1735,D
1495,23,631.31,589.8,86.99,279,70.6093,0.1377,D
1496,19,627.4,599.8,90.94,104,37.5,0.3465,D
1497,18,632.9,599.8,89.58,68,50.0,0.2809,D
1498,18,661.14,619.79,80.03,316,29.1139,0.2063,D
1499,19,660.46,599.8,80.03,350,24.2857,0.2065,D
1500,18,639.79,599.8,89.58,100,46.0,0.3473,D
1501,17,635.12,609.8,89.58,72,59.7222,0.14,D
1502,25,631.31,599.8,89.58,154,39.6104,0.1722,D
1503,23,626.75,599.8,89.58,146,47.2603,0.1387,D
1504,17,638.01,609.8,84.54,221,28.0543,0.2786,D
1505,19,645.47,609.8,84.54,115,33.913000000000004,0.1408,D
1506,22,643.12,609.8,86.99,94,25.5319,0.311,D
1507,23,628.51,359.88,86.99,79,73.4177,0.1354,D
1508,28,614.05,579.81,90.94,123,32.5203,0.1386,D
1509,26,609.37,569.81,89.58,270,13.3333,0.1746,D
1510,25,628.05,569.81,88.26,260,36.5385,0.2769,D
1511,26,627.62,589.8,88.26,138,38.4058,0.1732,D
1512,28,601.67,579.81,95.27,62,40.3226,0.27699999999999997,D
1513,27,610.43,579.81,90.94,43,67.4419,0.1394,D
1514,26,631.35,589.8,89.58,26,88.4615,0.35200000000000004,D
1515,27,621.28,369.88,89.58,124,31.4516,0.2397,D
1516,27,612.77,589.8,92.34,89,53.9326,0.1736,D
1517,24,625.79,589.8,86.99,144,10.4167,0.142,D
1518,23,625.88,599.8,86.99,128,17.9688,0.2779,D
1519,26,631.12,589.8,55.06,3244,72.1023,0.1408,D
1520,26,648.42,589.8,55.06,3140,70.0,0.1402,D
1521,23,636.01,589.8,89.58,133,46.6165,0.1747,D
1522,22,640.01,589.8,86.99,208,30.7692,0.1389,D
1523,26,648.89,619.79,86.99,98,21.4286,0.3425,D
1524,23,652.28,619.79,85.74,100,31.0,0.3484,D
1525,21,675.73,639.79,84.54,61,37.7049,0.1762,D
1526,24,692.86,669.78,75.97,182,73.0769,0.1375,D
1527,21,678.11,599.8,82.22,263,46.3878,0.1404,D
1528,21,655.01,599.8,83.36,99,53.5354,0.3123,D
1529,27,645.56,609.8,85.74,56,33.9286,0.1377,D
1530,25,621.53,569.81,90.94,102,21.5686,0.1749,D
1531,26,612.56,569.81,88.26,295,29.4915,0.1389,D
1532,27,618.73,579.81,88.26,201,41.2935,0.1376,D
1533,26,630.23,599.8,90.94,92,28.2609,0.141,D
1534,26,633.57,589.8,90.94,65,32.3077,0.1403,D
1535,23,636.31,589.8,89.58,174,32.7586,0.1367,D
1536,23,639.56,609.8,89.58,112,50.0,0.278,D
1537,26,628.73,359.88,89.58,93,51.6129,0.1354,D
1538,27,630.44,599.8,90.94,56,46.4286,0.2414,D
1539,27,620.23,599.8,93.78,54,88.8889,0.2103,D
1540,28,609.16,589.8,93.78,62,62.9032,0.1397,D
1541,28,606.05,579.81,93.78,71,53.5211,0.2406,D
1542,23,601.05,569.81,90.94,104,72.1154,0.1733,D
1543,21,616.39,569.81,83.36,520,30.1923,0.1726,D
1544,24,664.1,369.88,81.11,744,29.9731,0.1711,D
1545,24,678.35,639.79,81.11,219,13.6986,0.2106,D
1546,26,667.92,639.79,76.95,272,65.0735,0.1741,D
1547,26,668.85,609.8,76.95,461,79.8265,0.1391,D
1548,26,655.24,609.8,78.97,346,39.8844,0.1387,D
1549,28,638.05,369.88,90.94,116,73.2759,0.3066,D
1550,27,625.88,589.8,90.94,121,48.7603,0.2779,D
1551,26,617.67,369.88,89.58,111,77.4775,0.3445,D
1552,25,638.48,359.88,89.58,105,66.6667,0.3064,D
1553,20,660.24,639.79,86.99,53,47.1698,0.1761,D
1554,16,651.6,579.81,86.99,189,34.9206,0.1395,D
1555,20,626.96,569.81,88.26,48,41.6667,0.1387,D
1556,24,633.34,569.81,89.58,189,57.672,0.1754,D
1557,25,648.19,579.81,77.95,419,37.2315,0.2805,D
1558,25,657.96,579.81,74.1,646,45.0464,0.3454,D
1559,27,654.1,619.79,74.1,92,51.086999999999996,0.3475,D
1560,28,649.1,629.79,88.26,61,68.8525,0.1401,D
1561,27,653.42,629.79,88.26,75,54.6667,0.2087,D
1562,26,650.92,629.79,88.26,46,71.7391,0.1397,D
1563,25,657.74,629.79,82.22,162,25.3086,0.2073,D
1564,26,680.96,639.79,78.97,293,17.7474,0.2098,D
1565,24,685.96,649.78,78.97,251,8.3665,0.1388,D
1566,26,686.91,649.78,77.95,231,20.3463,0.2426,D
1567,25,682.33,369.88,77.95,230,40.0,0.2386,D
1568,25,684.77,649.78,82.22,98,24.4898,0.1739,D
1569,25,660.94,609.8,82.22,217,28.5714,0.1759,D
1570,22,617.03,559.81,89.58,126,34.9206,0.3103,D
1571,21,621.75,559.81,89.58,278,21.5827,0.1399,D
1572,27,642.23,599.8,86.99,107,12.1495,0.2768,D
1573,27,644.9,599.8,86.99,153,32.6797,0.1378,D
1574,26,666.29,629.79,82.22,97,47.4227,0.3141,D
1575,25,675.49,639.79,82.22,91,50.5495,0.3525,D
1576,24,666.06,619.79,85.74,156,61.5385,0.1397,D
1577,25,654.1,619.79,83.36,189,69.3122,0.2085,D
1578,26,652.06,629.79,83.36,204,56.3725,0.2788,D
1579,26,654.78,629.79,88.26,74,37.8378,0.3471,D
1580,27,639.12,599.8,86.99,160,40.625,0.1391,D
1581,24,644.79,599.8,86.99,197,64.467,0.1762,D
1582,25,666.75,639.79,84.54,147,44.2177,0.1395,D
2754,8,971.4,529.82,43.49,22643,68.0475,0.142,D
2755,9,890.95,459.85,43.49,31678,52.4149,0.2105,D
2756,10,844.26,459.85,46.53,8740,78.2265,0.2154,D
2757,11,727.96,539.82,59.43,6570,71.8113,0.1761,D
2758,11,720.26,539.82,47.26,14899,24.2701,0.1388,D
2759,10,820.58,609.8,41.11,18145,61.961999999999996,0.2089,D
2760,8,929.36,659.78,41.11,6450,55.1008,0.2152,D
2761,8,972.09,789.74,50.44,7755,38.1689,0.2128,D
2762,9,962.01,839.72,50.44,6299,48.341,0.2426,D
2763,9,852.75,649.78,56.62,3482,22.2286,0.1421,D
2764,11,785.29,639.79,58.84,4109,48.3573,0.1415,D
2765,11,747.65,629.79,58.84,1723,95.2409,0.17600000000000002,D
2766,10,684.89,549.82,54.56,3902,49.3337,0.1425,D
2767,9,782.52,549.82,53.12,5906,28.9705,0.1775,D
2768,9,974.16,789.74,50.02,6134,43.0388,0.177,D
2769,8,966.23,789.74,50.02,7274,40.8578,0.1784,D
2770,8,955.54,829.72,52.65,3398,74.6027,0.2165,D
2771,9,949.68,779.74,50.02,5685,51.9789,0.1452,D
2772,9,879.1,659.78,50.02,3802,35.1394,0.1379,D
2773,9,784.33,369.88,47.63,12726,56.2785,0.1378,D
2774,8,789.74,369.88,56.09,11238,26.7218,0.1407,D
2775,7,902.2,629.79,49.2,8681,44.7184,0.1386,D
2776,9,837.66,359.88,44.13,29385,46.1494,0.2107,D
2777,10,762.45,359.88,44.13,17301,64.9558,0.3545,D
2778,10,741.86,369.88,57.71,5186,66.7181,0.1774,D
2779,10,764.61,369.88,65.24,4288,16.9076,0.2121,D
2780,8,795.73,379.87,51.74,6997,85.3652,0.3591,D
2781,9,855.34,749.75,58.84,1395,66.9534,0.1461,D
2782,9,877.59,769.74,58.84,2062,67.6528,0.1381,D
2783,8,859.11,489.84,51.3,5112,83.4703,0.1764,D
2784,7,868.46,489.84,51.3,5038,94.3827,0.1439,D
2785,9,862.44,619.79,60.63,2377,64.3668,0.1757,D
4015,7,1214.38,1039.65,43.81,3542,70.4122,0.2864,D
4016,6,1182.65,1019.66,43.81,3571,59.9552,0.2574,D
4017,7,1140.87,1019.66,46.53,2993,81.1226,0.2557,D
4018,7,1175.86,1029.66,39.49,7068,59.7057,0.1417,D
