,A,B,C,G,R,X6,X8,Class
2048,13,514.65,499.83,113.25,18,33.3333,0.1388,F
2049,11,522.5,499.83,60.02,3272,64.2726,0.1367,F
2050,13,529.28,349.88,59.43,6298,68.2915,0.2748,F
2051,12,518.58,349.88,59.43,3199,72.4289,0.3444,F
2052,13,508.25,479.84,115.42,8,37.5,0.2071,F
2053,12,514.83,499.83,111.15,21,14.2857,0.1387,F
2054,11,528.73,499.83,111.15,41,24.3902,0.1376,F
2055,13,530.19,519.83,111.15,5,20.0,0.1397,F
2056,10,528.91,509.83,111.15,4,50.0,0.1719,F
2057,13,524.11,509.83,111.15,11,72.7273,0.2044,F
2058,12,520.19,509.83,111.15,13,38.4615,0.3146,F
2059,15,520.92,509.83,113.25,7,57.1429,0.349,F
2060,13,516.43,499.83,113.25,12,41.6667,0.242,F
2061,12,515.9,499.83,113.25,18,27.7778,0.2423,F
2062,13,526.92,499.83,61.24,3005,71.2812,0.138,F
2063,12,530.01,509.83,61.24,3058,69.7515,0.1372,F
2064,16,549.06,519.83,72.31,1203,49.5428,0.1718,F
2065,22,608.95,519.83,72.31,1560,37.5641,0.2096,F
2066,27,637.12,579.81,89.58,78,73.0769,0.1395,F
2067,22,608.96,569.81,89.58,87,36.7816,0.2053,F
2068,21,599.18,569.81,92.34,137,57.6642,0.1391,F
2069,27,614.48,589.8,92.34,175,41.1429,0.1731,F
2070,27,620.01,589.8,93.78,31,61.2903,0.1753,F
2071,26,624.14,599.8,85.74,118,69.4915,0.1742,F
2072,27,623.62,579.81,85.74,173,51.4451,0.2047,F
2073,27,622.35,579.81,92.34,79,32.9114,0.1709,F
2074,27,630.01,589.8,89.58,77,33.7662,0.1725,F
2075,28,633.7,619.79,89.58,56,55.3571,0.1715,F
2076,27,616.18,569.81,89.58,114,25.4386,0.1727,F
2077,28,602.92,569.81,93.78,83,32.5301,0.311,F
2078,28,618.92,569.81,92.34,89,55.0562,0.1405,F
2079,26,632.83,599.8,90.94,61,68.8525,0.1374,F
2080,27,624.79,569.81,90.94,87,82.7586,0.1392,F
2081,21,597.51,569.81,92.34,117,69.2308,0.1743,F
2082,16,581.61,549.82,96.81,113,48.6726,0.2063,F
2083,15,568.44,529.82,98.39,171,31.5789,0.3105,F
2084,13,570.21,529.82,95.27,210,29.5238,0.1403,F
2085,15,579.41,549.82,95.27,194,21.134,0.3107,F
2086,14,586.2,539.82,55.06,3854,64.0893,0.1365,F
2087,18,609.38,539.82,50.02,10507,61.5304,0.3419,F
2088,20,608.1,539.82,50.02,7323,61.7916,0.14,F
2089,24,610.22,569.81,95.27,72,40.2778,0.1395,F
2090,23,610.01,549.82,92.34,157,21.6561,0.2093,F
2091,24,618.27,549.82,85.74,473,11.8393,0.1406,F
2092,23,634.46,609.8,85.74,120,9.1667,0.3503,F
2093,25,638.01,619.79,90.94,22,36.3636,0.1393,F
